2020-08-07 11:44:16,530 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,530 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,530 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,530 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,530 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,531 - fs.aclOp [(count=70, m1_rate=134.29898670694305, m5_rate=582.1541208726109, m15_rate=743.3594202040255) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,531 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,531 - ea [(count=21, m1_rate=40.28969601208292, m5_rate=174.6462362617833, m15_rate=223.0078260612077) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,532 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:44:16,532 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:45:16,456 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,456 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,456 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,456 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,456 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,457 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,457 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,457 - synch.mkdir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.mv [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,458 - fs.aclOp [(count=70, m1_rate=49.405836179641184, m5_rate=476.6274817894831, m15_rate=695.4179299899192) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,459 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,459 - ea [(count=21, m1_rate=14.821750853892363, m5_rate=142.98824453684497, m15_rate=208.62537899697577) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:45:16,459 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:45:16,459 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:46:16,385 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,385 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,385 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,385 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,386 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,386 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,386 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,386 - synch.mkdir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.mv [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,387 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,388 - fs.aclOp [(count=70, m1_rate=18.17539140437424, m5_rate=390.2295771031656, m15_rate=650.5683310217979) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,388 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,388 - ea [(count=21, m1_rate=5.452617421312274, m5_rate=117.0688731309497, m15_rate=195.1704993065393) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:46:16,388 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:46:16,388 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:47:16,315 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,315 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,315 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,315 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,315 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.mkdir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.mv [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,316 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,317 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,317 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,317 - fs.aclOp [(count=70, m1_rate=6.686352832913435, m5_rate=319.49295553497717, m15_rate=608.6112179112537) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,317 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,318 - ea [(count=21, m1_rate=2.0059058498740314, m5_rate=95.8478866604932, m15_rate=182.58336537337598) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:47:16,318 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:47:16,318 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:48:16,243 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,243 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
